lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014,langabezia_tasa_2016_maiatza,euskara_gaitasuna
31067,Nafarroa Garaia,Zarrakaztelu,Carcastillo,2.504,,,,,,,,,,,"0,0",,"4,28"
31068,Nafarroa Garaia,Cascante,Cascante,3.888,,,,,,,,,,,"0,0",,"1,82"
31069,Nafarroa Garaia,Kaseda,Cáseda,1.014,,,,,,,,,,,"0,0",,"9,39"
31070,Nafarroa Garaia,Castejón,Castejón,4.120,,,,,,,,,,,"24,6",,"1,62"
31071,Nafarroa Garaia,Gazteluberri,Castillo-Nuevo,18,,,,,,,,,,,"0,0",,"0,00"
31072,Nafarroa Garaia,Cintruénigo,Cintruénigo,7.768,,,,,,,,,,,"0,0",,"1,51"
31073,Nafarroa Garaia,Ziordia,Ziordia,380,,,,,,,,,2017-06-18,,"0,0",,"38,84"
31074,Nafarroa Garaia,Zirauki,Cirauqui <> Zirauki,491,,,,,,,,,,,"0,0",,"10,75"
31075,Nafarroa Garaia,Ziritza,Ciriza <> Ziritza,123,,,,,,,,,,,"0,0",,"11,72"
31076,Nafarroa Garaia,Zizur,Cizur,3.796,,,,,,,,,,,"0,0",,"10,74"
31077,Nafarroa Garaia,Corella,Corella,7.753,,,,,,,,,,,"0,0",,"0,91"
31078,Nafarroa Garaia,Cortes,Cortes,3.199,,,,,,,,,,,"0,0",,"4,23"
31079,Nafarroa Garaia,Desoio,Desojo,83,,,,,,,,,,,"0,0",,"4,37"
31080,Nafarroa Garaia,Deikaztelu,Dicastillo,639,,,,,,,,,,,"0,0",,"6,47"
31081,Nafarroa Garaia,Donamaria,Donamaria,456,,,,,,,,,,,"0,0",,"95,82"
31082,Nafarroa Garaia,Etxalar,Etxalar,819,,,,,,,,,2017-06-18,,"0,0",,"93,37"
31083,Nafarroa Garaia,Etxarri,Echarri,78,,,,,,,,,,,"0,0",,"16,67"
31084,Nafarroa Garaia,Etxarri-Aranatz,Etxarri-Aranatz,2.491,bai,804,18,26,3,1990,851,"42,76",2014-04-13,Nahi duzu Euskal Herria independiente bateko herritarra izan?,"16,9",,"81,88"
31085,Nafarroa Garaia,Etxauri,Etxauri,586,,,,,,,,,,,"0,0",,"20,98"
31086,Nafarroa Garaia,Eguesibar,Egüés,19.014,,,,,,,,,,,"0,0",,"11,73"
31087,Nafarroa Garaia,Elgorriaga,Elgorriaga,226,,,,,,,,,,,"0,0",,"87,50"
31088,Nafarroa Garaia,Noain Elortzibar,Noáin (Valle de Elorz) <> Noain (Elortzibar),7.837,,,,,,,,,,,"0,0",,"7,73"
31089,Nafarroa Garaia,Eneritz,Enériz <> Eneritz,334,,,,,,,,,,,"0,0",,"5,26"
31090,Nafarroa Garaia,Eratsun,Eratsun,160,,,,,,,,,,,"0,0",,"95,66"
31091,Nafarroa Garaia,Ergoiena,Ergoiena,400,,,,,,,,,,,"0,0",,"93,25"
31092,Nafarroa Garaia,Erroibar,Erro,809,,,,,,,,,,,"0,0",,"33,51"
31093,Nafarroa Garaia,Ezkaroze,Ezcároz <> Ezkaroze,329,,,,,,,,,,,"0,0",,"14,25"
31094,Nafarroa Garaia,Eslaba,Eslava,127,,,,,,,,,,,"0,0",,"3,09"
31095,Nafarroa Garaia,Espartza,Esparza de Salazar <> Espartza Zaraitzu,82,,,,,,,,,,,"0,0",,"26,47"
31096,Nafarroa Garaia,Esprontzeda,Espronceda,119,,,,,,,,,,,"0,0",,"1,22"
31097,Nafarroa Garaia,Lizarra,Estella <> Lizarra,13.695,,,,,,,,,,,"0,0",,"16,03"
31098,Nafarroa Garaia,Esteribar,Esteribar,2.509,,,,,,,,,,,"0,0",,"23,69"
31099,Nafarroa Garaia,Etaiu,Etayo,79,,,,,,,,,,,"0,0",,"7,39"
31100,Nafarroa Garaia,Eulate,Eulate,315,,,,,,,,,,,"0,0",,"26,52"
31101,Nafarroa Garaia,Ezkabarte,Ezcabarte,1.816,,,,,,,,,,,"0,0",,"19,44"
31102,Nafarroa Garaia,Ezkurra,Ezkurra,152,,,,,,,,,,,"0,0",,"98,53"
