lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014
31003,Nafarroa Garaia,Abaurregaina,Abaurregaina/Abaurrea Alta,132,,,,,,,,,,,"0,0"
31004,Nafarroa Garaia,Abaurrepea,Abaurrepea/Abaurrea Baja,38,,,,,,,,,,,"0,0"
31005,Nafarroa Garaia,Aberin,Aberin,382,,,,,,,,,,,"30,2"
31006,Nafarroa Garaia,Ablitas,Ablitas,2.549,,,,,,,,,,,"0,0"
31007,Nafarroa Garaia,Adios,Adiós,170,,,,,,,,,,,"0,0"
31008,Nafarroa Garaia,Aguilar Kodes,Aguilar de Codés,94,,,,,,,,,,,"0,0"
31009,Nafarroa Garaia,Oibar,Aibar <> Oibar,836,,,,,,,,,,,"0,0"
31010,Nafarroa Garaia,Altsasu,Altsasu/Alsasua,7.612,,,,,,,,,,,"0,0"
31011,Nafarroa Garaia,Allin,Allín <> Allin,840,,,,,,,,,,,"21,3"
31012,Nafarroa Garaia,Allo,Allo,1.019,,,,,,,,,,,"0,0"
31013,Nafarroa Garaia,Ameskoabarrena,Améscoa Baja,764,,,,,,,,,,,"0,0"
31014,Nafarroa Garaia,Antzin,Ancín <> Antzin,385,,,,,,,,,,,"0,0"
31015,Nafarroa Garaia,Andosilla,Andosilla,2.779,,,,,,,,,,,"0,0"
31016,Nafarroa Garaia,Antsoain,Ansoáin <> Antsoain,10.861,,,,,,,,,,,"0,0"
31017,Nafarroa Garaia,Anue,Anue,462,,,,,,,,,,,"12,8"
31018,Nafarroa Garaia,Añorbe,Añorbe,557,,,,,,,,,,,"0,0"
31019,Nafarroa Garaia,Agoitz,Aoiz/Agoitz,2.629,,,,,,,,,,,"0,0"
31020,Nafarroa Garaia,Araitz,Araitz,533,,,,,,,,,,,"0,0"
31021,Nafarroa Garaia,Aranaratxe,Aranarache <> Aranaratxe,77,,,,,,,,,,,"0,0"
31022,Nafarroa Garaia,Arantza,Arantza,629,,,,,,,,,,,"0,0"
31023,Nafarroa Garaia,Aranguren,Aranguren,8.982,,,,,,,,,,,"0,0"
31024,Nafarroa Garaia,Arano,Arano,111,,,,,,,,,,,"0,0"
31025,Nafarroa Garaia,Arakil,Arakil,941,,,,,,,,,,,"0,0"
31026,Nafarroa Garaia,Aras,Aras,184,,,,,,,,,,,"0,0"
31027,Nafarroa Garaia,Arbizu,Arbizu,1.117,,,,,,,,,,,"0,0"
